technique,image_id,roi_index,roi_pixels_w,roi_pixels_h,roi_binary_bytes,roi_base64_chars,roi_base64_bytes_utf8,roi_data_url_bytes_utf8,roi_x,roi_y,roi_box_w,roi_box_h,roi_score,roi_label
GazeRoi+GlobalThumb,COCO_val2014_000000003939.jpg,0,309,235,32004,42672,42672,42695,23,101,309,235,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003947.jpg,0,288,336,21953,29272,29272,29295,143,219,288,336,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003983.jpg,0,250,240,28280,37708,37708,37731,110,130,250,240,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000004265.jpg,0,270,180,20587,27452,27452,27475,350,0,270,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000004554.jpg,0,191,352,16631,22176,22176,22199,94,39,191,352,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005060.jpg,0,200,270,21064,28088,28088,28111,210,130,200,270,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005123.jpg,0,470,143,31033,41380,41380,41403,110,161,470,143,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005385.jpg,0,110,90,6109,8148,8148,8171,160,140,110,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005388.jpg,0,490,100,17369,23160,23160,23183,70,218,490,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005486.jpg,0,270,100,15729,20972,20972,20995,130,237,270,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005502.jpg,0,460,380,45286,60384,60384,60407,80,39,460,380,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005652.jpg,0,490,219,20671,27564,27564,27587,80,139,490,219,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005694.jpg,0,130,140,8938,11920,11920,11943,60,100,130,140,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005816.jpg,0,630,190,28644,38192,38192,38215,0,200,630,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000005992.jpg,0,270,80,8291,11056,11056,11079,350,149,270,80,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006040.jpg,0,300,141,21068,28092,28092,28115,230,110,300,141,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006471.jpg,0,157,125,9274,12368,12368,12391,179,100,157,125,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006580.jpg,0,220,190,22653,30204,30204,30227,260,160,220,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006580.jpg,0,290,170,24026,32036,32036,32059,330,200,290,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006771.jpg,0,600,319,50392,67192,67192,67215,20,79,600,319,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000006871.jpg,0,570,450,74989,99988,99988,100011,30,10,570,450,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007072.jpg,0,103,79,4443,5924,5924,5947,218,124,103,79,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007570.jpg,0,600,250,44078,58772,58772,58795,0,100,600,250,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007726.jpg,0,470,260,48693,64924,64924,64947,70,150,470,260,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007938.jpg,0,380,100,19278,25704,25704,25727,50,220,380,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007938.jpg,0,120,90,4855,6476,6476,6499,20,220,120,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000007938.jpg,0,250,140,14825,19768,19768,19791,30,240,250,140,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008065.jpg,0,219,79,9917,13224,13224,13247,242,179,219,79,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008065.jpg,0,290,110,16226,21636,21636,21659,179,195,290,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008204.jpg,0,440,380,77901,103868,103868,103891,140,90,440,380,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008401.jpg,0,470,279,71690,95588,95588,95611,110,69,470,279,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008583.jpg,0,470,240,34490,45988,45988,46011,120,120,470,240,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008771.jpg,0,230,300,11565,15420,15420,15443,210,80,230,300,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008803.jpg,0,120,170,9106,12144,12144,12167,420,130,120,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000008899.jpg,0,360,391,59016,78688,78688,78711,140,69,360,391,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009156.jpg,0,290,220,39009,52012,52012,52035,80,120,290,220,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009236.jpg,0,390,300,24781,33044,33044,33067,120,130,390,300,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009236.jpg,0,500,190,23195,30928,30928,30951,60,170,500,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009729.jpg,0,212,110,6846,9128,9128,9151,78,123,212,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009729.jpg,0,322,195,16210,21616,21616,21639,93,123,322,195,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009769.jpg,0,430,280,62207,82944,82944,82967,140,40,430,280,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009800.jpg,0,270,173,14879,19840,19840,19863,290,70,270,173,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000009800.jpg,0,470,142,19716,26288,26288,26311,90,131,470,142,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000010023.jpg,0,130,219,17449,23268,23268,23291,220,79,130,219,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000010216.jpg,0,460,230,25634,34180,34180,34203,40,30,460,230,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000010534.jpg,0,420,110,18583,24780,24780,24803,80,139,420,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000010793.jpg,0,420,279,36120,48160,48160,48183,60,49,420,279,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000010920.jpg,0,220,370,28255,37676,37676,37699,130,190,220,370,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000011184.jpg,0,212,103,6756,9008,9008,9031,234,54,212,103,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000011291.jpg,0,370,380,60580,80776,80776,80799,140,70,370,380,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000011364.jpg,0,400,151,42895,57196,57196,57219,130,99,400,151,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012047.jpg,0,400,290,40207,53612,53612,53635,0,29,400,290,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012062.jpg,0,510,170,36457,48612,48612,48635,130,69,510,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012085.jpg,0,240,100,8391,11188,11188,11211,90,230,240,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012230.jpg,0,220,260,20289,27052,27052,27075,310,110,220,260,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012238.jpg,0,120,90,5554,7408,7408,7431,260,160,120,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012448.jpg,0,70,130,3093,4124,4124,4147,258,180,70,130,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012455.jpg,0,380,112,10389,13852,13852,13875,80,162,380,112,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012543.jpg,0,140,410,17679,23572,23572,23595,180,90,140,410,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012700.jpg,0,400,220,42449,56600,56600,56623,130,100,400,220,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012733.jpg,0,320,81,11573,15432,15432,15455,210,158,320,81,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000012764.jpg,0,380,170,15501,20668,20668,20691,80,180,380,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000013031.jpg,0,120,80,7489,9988,9988,10011,260,178,120,80,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000013414.jpg,0,320,310,30046,40064,40064,40087,90,40,320,310,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000013490.jpg,0,420,260,52608,70144,70144,70167,60,70,420,260,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000013991.jpg,0,290,510,53844,71792,71792,71815,150,10,290,510,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014056.jpg,0,498,221,36335,48448,48448,48471,86,229,498,221,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014088.jpg,0,120,91,6951,9268,9268,9291,130,139,120,91,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014151.jpg,0,87,165,5913,7884,7884,7907,133,195,87,165,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014226.jpg,0,130,180,9399,12532,12532,12555,320,110,130,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014226.jpg,0,140,90,6271,8364,8364,8387,320,160,140,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014226.jpg,0,130,110,5652,7536,7536,7559,310,200,130,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014282.jpg,0,320,180,19025,25368,25368,25391,220,150,320,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014321.jpg,0,120,145,13387,17852,17852,17875,95,75,120,145,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014353.jpg,0,110,90,8506,11344,11344,11367,220,130,110,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014392.jpg,0,259,360,52459,69948,69948,69971,59,200,259,360,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014439.jpg,0,460,143,44970,59960,59960,59983,170,80,460,143,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014450.jpg,0,380,350,78590,104788,104788,104811,89,230,380,350,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014733.jpg,0,480,110,26379,35172,35172,35195,50,139,480,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014821.jpg,0,151,380,22609,30148,30148,30171,230,130,151,380,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000014892.jpg,0,240,149,9781,13044,13044,13067,260,139,240,149,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015140.jpg,0,235,72,7519,10028,10028,10051,101,171,235,72,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015301.jpg,0,400,214,49314,65752,65752,65775,150,131,400,214,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015335.jpg,0,520,410,65494,87328,87328,87351,90,70,520,410,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015335.jpg,0,530,190,41319,55092,55092,55115,80,40,530,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015542.jpg,0,266,174,15739,20988,20988,21011,70,118,266,174,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015614.jpg,0,120,80,10401,13868,13868,13891,290,159,120,80,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015681.jpg,0,410,311,58619,78160,78160,78183,60,110,410,311,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015810.jpg,0,460,304,43931,58576,58576,58599,10,111,460,304,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015827.jpg,0,120,400,25634,34180,34180,34203,168,210,120,400,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015850.jpg,0,190,270,23481,31308,31308,31331,310,120,190,270,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015850.jpg,0,330,210,34459,45948,45948,45971,120,130,330,210,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015850.jpg,0,490,420,76101,101468,101468,101491,140,40,490,420,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015850.jpg,0,620,280,76286,101716,101716,101739,10,80,620,280,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000015883.jpg,0,190,500,54764,73020,73020,73043,158,80,190,500,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016010.jpg,0,400,191,40015,53356,53356,53379,150,180,400,191,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016180.jpg,0,300,90,8153,10872,10872,10895,110,150,300,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016491.jpg,0,320,189,32788,43720,43720,43743,200,79,320,189,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016593.jpg,0,440,250,16391,21856,21856,21879,150,190,440,250,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016593.jpg,0,290,90,5130,6840,6840,6863,110,170,290,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016879.jpg,0,380,120,18046,24064,24064,24087,210,198,380,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016896.jpg,0,290,110,7056,9408,9408,9431,220,190,290,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016897.jpg,0,550,309,65019,86692,86692,86715,40,79,550,309,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000016961.jpg,0,330,300,46147,61532,61532,61555,180,120,330,300,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017152.jpg,0,490,220,29029,38708,38708,38731,150,260,490,220,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017364.jpg,0,290,250,35116,46824,46824,46847,150,139,290,250,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017365.jpg,0,410,90,13290,17720,17720,17743,140,180,410,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017482.jpg,0,480,190,53455,71276,71276,71299,100,140,480,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017613.jpg,0,300,310,36314,48420,48420,48443,270,130,300,310,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017613.jpg,0,260,200,21790,29056,29056,29079,180,150,260,200,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017708.jpg,0,240,170,17185,22916,22916,22939,110,120,240,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017714.jpg,0,540,370,54771,73028,73028,73051,70,20,540,370,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017927.jpg,0,370,81,14848,19800,19800,19823,70,148,370,81,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000017966.jpg,0,110,90,8547,11396,11396,11419,180,200,110,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000018224.jpg,0,130,90,7207,9612,9612,9635,170,80,130,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000018336.jpg,0,130,360,15506,20676,20676,20699,140,120,130,360,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000018687.jpg,0,300,170,30117,40156,40156,40179,200,210,300,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000018728.jpg,0,180,280,9686,12916,12916,12939,200,120,180,280,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000019322.jpg,0,192,106,10184,13580,13580,13603,124,248,192,106,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000019447.jpg,0,170,230,28244,37660,37660,37683,410,129,170,230,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000019455.jpg,0,420,160,21940,29256,29256,29279,120,109,420,160,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000019559.jpg,0,267,134,12671,16896,16896,16919,187,140,267,134,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000019817.jpg,0,259,510,38919,51892,51892,51915,0,20,259,510,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020207.jpg,0,410,120,26518,35360,35360,35383,110,150,410,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020381.jpg,0,390,112,17182,22912,22912,22935,80,222,390,112,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020395.jpg,0,180,360,17484,23312,23312,23335,190,90,180,360,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020438.jpg,0,103,95,4167,5556,5556,5579,210,187,103,95,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020598.jpg,0,120,112,8722,11632,11632,11655,250,121,120,112,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000020796.jpg,0,420,470,71277,95036,95036,95059,0,170,420,470,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021161.jpg,0,150,160,4862,6484,6484,6507,180,99,150,160,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021284.jpg,0,120,160,12917,17224,17224,17247,200,160,120,160,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021397.jpg,0,380,141,28297,37732,37732,37755,140,149,380,141,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021639.jpg,0,230,200,13106,17476,17476,17499,170,120,230,200,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021688.jpg,0,140,328,25807,34412,34412,34435,210,9,140,328,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021979.jpg,0,170,290,16085,21448,21448,21471,270,150,170,290,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021993.jpg,0,420,259,47084,62780,62780,62803,200,29,420,259,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000021994.jpg,0,110,249,16697,22264,22264,22287,240,139,110,249,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022072.jpg,0,460,360,59498,79332,79332,79355,140,80,460,360,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022191.jpg,0,240,370,30214,40288,40288,40311,210,80,240,370,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022215.jpg,0,490,183,47462,63284,63284,63307,50,181,490,183,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022341.jpg,0,352,95,13418,17892,17892,17915,78,132,352,95,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022775.jpg,0,120,111,9435,12580,12580,12603,270,99,120,111,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000022963.jpg,0,330,490,41655,55540,55540,55563,9,70,330,490,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000023121.jpg,0,120,90,9066,12088,12088,12111,390,140,120,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024458.jpg,0,310,90,15431,20576,20576,20599,170,140,310,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024553.jpg,0,440,260,19676,26236,26236,26259,150,190,440,260,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024566.jpg,0,560,210,56017,74692,74692,74715,0,130,560,210,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024744.jpg,0,350,230,19916,26556,26556,26579,220,190,350,230,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024790.jpg,0,220,90,8796,11728,11728,11751,170,198,220,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024790.jpg,0,260,91,10250,13668,13668,13691,200,188,260,91,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024805.jpg,0,81,120,3912,5216,5216,5239,178,190,81,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000024880.jpg,0,130,90,4899,6532,6532,6555,420,260,130,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025139.jpg,0,438,141,28129,37508,37508,37531,39,69,438,141,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025216.jpg,0,313,430,77388,103184,103184,103207,121,100,313,430,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025252.jpg,0,200,410,30900,41200,41200,41223,160,70,200,410,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025252.jpg,0,90,120,8098,10800,10800,10823,300,310,90,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025282.jpg,0,240,340,35586,47448,47448,47471,200,80,240,340,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025453.jpg,0,500,220,48546,64728,64728,64751,110,188,500,220,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025457.jpg,0,160,239,79883,106512,106512,106535,280,128,160,239,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025508.jpg,0,270,110,12976,17304,17304,17327,89,160,270,110,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025685.jpg,0,329,288,31355,41808,41808,41831,31,38,329,288,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025986.jpg,0,310,200,18002,24004,24004,24027,200,170,310,200,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025997.jpg,0,120,210,15764,21020,21020,21043,260,90,120,210,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000025997.jpg,0,190,270,25719,34292,34292,34315,250,170,190,270,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026371.jpg,0,103,196,5298,7064,7064,7087,132,179,103,196,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026522.jpg,0,269,370,37437,49916,49916,49939,99,170,269,370,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026564.jpg,0,440,180,30752,41004,41004,41027,130,128,440,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026584.jpg,0,300,170,10767,14356,14356,14379,220,100,300,170,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026671.jpg,0,110,230,9482,12644,12644,12667,180,170,110,230,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026768.jpg,0,230,340,23112,30816,30816,30839,220,100,230,340,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000026982.jpg,0,440,339,80185,106916,106916,106939,100,29,440,339,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027476.jpg,0,443,470,86315,115088,115088,115111,40,70,443,470,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027478.jpg,0,170,150,17699,23600,23600,23623,110,80,170,150,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027478.jpg,0,130,100,5083,6780,6780,6803,270,180,130,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027484.jpg,0,160,70,8469,11292,11292,11315,410,129,160,70,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027570.jpg,0,460,209,18677,24904,24904,24927,50,119,460,209,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027617.jpg,0,350,161,24420,32560,32560,32583,150,159,350,161,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027897.jpg,0,240,230,21609,28812,28812,28835,300,9,240,230,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000027975.jpg,0,300,190,20128,26840,26840,26863,90,190,300,190,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000028071.jpg,0,79,94,8261,11016,11016,11039,233,289,79,94,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000028293.jpg,0,500,81,11371,15164,15164,15187,130,287,500,81,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000028389.jpg,0,310,133,24331,32444,32444,32467,100,60,310,133,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000028535.jpg,0,160,169,12321,16428,16428,16451,300,139,160,169,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000028874.jpg,0,190,90,7764,10352,10352,10375,130,150,190,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029059.jpg,0,130,90,4641,6188,6188,6211,250,160,130,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029393.jpg,0,306,173,30624,40832,40832,40855,93,70,306,173,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029444.jpg,0,220,90,10201,13604,13604,13627,90,40,220,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029524.jpg,0,91,400,13127,17504,17504,17527,189,100,91,400,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029709.jpg,0,111,165,9706,12944,12944,12967,210,195,111,165,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000029776.jpg,0,360,229,25641,34188,34188,34211,180,79,360,229,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000030044.jpg,0,170,180,18489,24652,24652,24675,200,178,170,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000030062.jpg,0,270,121,17186,22916,22916,22939,220,287,270,121,1.000000,
